genome,host,date,completeness,geo,spc,is_host_adapted,is_human_infection,temp_22,temp_25,temp_37,opt_temp,opt_ph,growth_rate,ref
GCA_001644575.1,,04/12/2014,99.69,China: Shandong,adipatum,environmental,,nd,nd,,37,6.0-7.0,rapid,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10517868/
GCF_001644575.1,,04/12/2014,99.69,China: Shandong,adipatum,environmental,,nd,nd,,38,6.0-7.0,rapid,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10517868/
GCA_900176255.2,,,99.08,,ahvazicum,environmental,Y,nd,nd,+,37,,slow,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5841666/
GCF_900176255.2,,,99.08,,ahvazicum,environmental,Y,nd,nd,+,37,,slow,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5841666/
GCA_002086635.1,,,98.5,,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000736
GCF_002086635.1,,,98.5,,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000737
GCA_001666815.1,,2011,98.64,Cambodia,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000738
GCF_001666815.1,,2011,98.64,Cambodia,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000739
GCA_025823205.1,Homo sapiens,12/12/2007,98.72,Denmark: Snderborg,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000740
GCF_025823205.1,Homo sapiens,12/12/2007,98.72,Denmark: Snderborg,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000741
GCA_001672935.1,,22/08/2012,98.91,Mozambique,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000742
GCF_001672935.1,,22/08/2012,98.91,Mozambique,alsense,environmental,Y,-,+,+,,,slow,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000743
